candidate_id,first_name,last_name,highest_education,years_experience,current_city,current_country,notice_period_days,expected_ctc_lpa,phone,email
1,Noah,Khan,Bachelors,3.2,Kolkata,India,0,19.9,6131110974,noah.khan1@example.com
2,Vivaan,Smith,Bachelors,10.9,Bengaluru,India,30,40.0,9558157392,vivaan.smith2@example.com
3,Aarohi,Roy,Masters,2.7,Noida,India,45,57.2,8966995085,aarohi.roy3@example.com
4,Isha,Agarwal,Masters,1.2,Bengaluru,India,30,32.2,8980706233,isha.agarwal4@example.com
5,Ananya,Chatterjee,Masters,0.9,Pune,India,90,55.7,9695887076,ananya.chatterjee5@example.com
6,Aadhya,Panda,Masters,3.7,Indore,India,60,6.2,9436773053,aadhya.panda6@example.com
7,Krishna,Martin,Bachelors,6.8,Kochi,Other,45,24.9,7848376620,krishna.martin7@example.com
8,Aarohi,Brown,Masters,2.8,Ahmedabad,India,30,48.9,7637744148,aarohi.brown8@example.com
9,Isha,Nair,Masters,7.2,Bengaluru,India,30,25.3,7587061373,isha.nair9@example.com
10,Raghav,Verma,Bachelors,8.8,Chennai,India,30,49.4,7977972123,raghav.verma10@example.com
11,Krishna,Garcia,Masters,3.5,Kochi,India,60,3.2,8421890280,krishna.garcia11@example.com
12,Kiara,Panda,Bachelors,3.4,Lucknow,India,45,63.7,8210782202,kiara.panda12@example.com
13,Vihaan,Kim,Masters,6.2,Chennai,Other,30,3.2,9262298848,vihaan.kim13@example.com
14,Vivaan,Brown,Bachelors,6.1,Noida,India,30,17.2,8140885808,vivaan.brown14@example.com
15,Kiara,Iyer,Diploma,2.9,Chennai,India,60,34.9,8827087962,kiara.iyer15@example.com
16,Isha,Bose,Masters,2.1,Pune,India,90,46.5,9332006967,isha.bose16@example.com
17,Aditya,Lee,Bachelors,5.6,Pune,India,30,19.4,7294812437,aditya.lee17@example.com
18,Sofia,Smith,Masters,3.7,Chennai,India,60,49.7,6239312967,sofia.smith18@example.com
19,Sofia,Khan,Masters,6.5,Hyderabad,India,30,18.6,9759819097,sofia.khan19@example.com
20,Kiara,Khan,Bachelors,3.0,Kolkata,India,60,57.5,8751692394,kiara.khan20@example.com
21,Vivaan,Agarwal,Bachelors,2.4,Chennai,India,15,50.3,6152085492,vivaan.agarwal21@example.com
22,Aadhya,Reddy,Bachelors,2.2,Noida,India,60,47.7,6954641055,aadhya.reddy22@example.com
23,Oliver,Nair,Diploma,4.5,Kolkata,India,30,49.7,6724961713,oliver.nair23@example.com
24,Emily,Ghosh,Bachelors,6.1,Bengaluru,India,45,14.1,7275310437,emily.ghosh24@example.com
25,Arjun,Reddy,Masters,15.3,Mumbai,India,90,58.3,7825646163,arjun.reddy25@example.com
26,Krishna,Iyer,Bachelors,5.4,Pune,India,0,64.8,9719467842,krishna.iyer26@example.com
27,Mia,Smith,Bachelors,8.8,Kochi,Other,30,30.2,7784872905,mia.smith27@example.com
28,Meera,Sharma,Bachelors,1.9,Pune,India,30,44.9,9336279523,meera.sharma28@example.com
29,Aarohi,Agarwal,Bachelors,3.5,Pune,India,30,4.8,9069218892,aarohi.agarwal29@example.com
30,Meera,Williams,Masters,9.7,Chennai,India,30,35.1,8867461127,meera.williams30@example.com
31,Isha,Chatterjee,Diploma,4.4,Indore,India,60,66.0,7928307061,isha.chatterjee31@example.com
32,Sarah,Garcia,Bachelors,5.2,Noida,India,30,34.0,6390912804,sarah.garcia32@example.com
33,Aditya,Jain,Bachelors,8.2,Noida,India,30,66.7,7435281070,aditya.jain33@example.com
34,Krishna,Reddy,Bachelors,2.0,Pune,India,30,51.4,9259655577,krishna.reddy34@example.com
35,Kiara,Jain,Bachelors,4.8,Noida,India,60,19.6,7352806487,kiara.jain35@example.com
36,Krishna,Kapoor,Masters,2.6,Hyderabad,India,60,65.7,7043450515,krishna.kapoor36@example.com
37,Kiara,Garcia,Bachelors,4.0,Indore,Other,90,16.6,7898285411,kiara.garcia37@example.com
38,Sai,Verma,Masters,1.1,Bengaluru,India,30,62.3,7052308938,sai.verma38@example.com
39,Saanvi,Verma,Masters,0.3,Lucknow,India,45,28.0,9397730642,saanvi.verma39@example.com
40,Sofia,Williams,Masters,8.4,Chennai,India,60,11.3,6776230314,sofia.williams40@example.com
41,Liam,Patel,Bachelors,1.6,Gurugram,India,30,58.9,6098491497,liam.patel41@example.com
42,Raghav,Bose,Bachelors,1.9,Pune,India,60,10.0,9329395015,raghav.bose42@example.com
43,Mia,Mehta,Bachelors,3.2,Indore,India,60,22.0,6870139090,mia.mehta43@example.com
44,Sarah,Mehta,Masters,5.1,Mumbai,India,30,6.7,6811651778,sarah.mehta44@example.com
45,Oliver,Jain,Masters,4.1,Lucknow,India,0,58.6,7430934206,oliver.jain45@example.com
46,Raghav,Ghosh,Bachelors,3.7,Bengaluru,India,60,47.9,7933741207,raghav.ghosh46@example.com
47,Noah,Kapoor,Masters,3.5,Pune,India,30,16.7,7083174411,noah.kapoor47@example.com
48,Arjun,Mehta,Masters,2.0,Kochi,India,30,45.8,6753144620,arjun.mehta48@example.com
49,Mia,Kapoor,Bachelors,5.5,Jaipur,India,30,10.6,6287373743,mia.kapoor49@example.com
50,Rohit,Kim,Bachelors,7.9,Noida,India,30,51.6,6662880816,rohit.kim50@example.com
51,Aditya,Lee,Bachelors,5.6,Pune,India,0,32.5,9864050479,aditya.lee51@example.com
52,Vihaan,Kim,Masters,4.7,Ahmedabad,India,0,36.0,9175531585,vihaan.kim52@example.com
53,Rohit,Williams,Masters,2.2,Lucknow,India,30,28.1,9630844332,rohit.williams53@example.com
54,Diya,Iyer,Bachelors,3.8,Gurugram,India,30,48.1,6133681928,diya.iyer54@example.com
55,Emily,Martin,Masters,3.0,Gurugram,India,90,18.3,6267685220,emily.martin55@example.com
56,Oliver,Martin,Bachelors,1.4,Kochi,India,30,11.3,8234439578,oliver.martin56@example.com
57,Sofia,Garcia,Masters,4.9,Indore,India,60,46.1,6777532563,sofia.garcia57@example.com
58,Anika,Jain,Masters,6.1,Jaipur,India,15,62.6,9728393118,anika.jain58@example.com
59,Oliver,Martin,Masters,3.9,Jaipur,India,15,8.9,6832957082,oliver.martin59@example.com
60,Arjun,Smith,Masters,1.7,Bengaluru,India,0,66.7,7781033171,arjun.smith60@example.com
61,Noah,Kapoor,Bachelors,0.4,Indore,India,60,68.0,7580173600,noah.kapoor61@example.com
62,Liam,Patel,Bachelors,15.1,Kolkata,India,60,7.6,7131079640,liam.patel62@example.com
63,Aarav,Patel,Bachelors,3.8,Bengaluru,Other,60,23.8,9244975234,aarav.patel63@example.com
64,Sarah,Smith,Bachelors,3.3,Indore,India,45,18.9,8056713428,sarah.smith64@example.com
65,Arjun,Iyer,Bachelors,2.3,Pune,India,60,56.8,9329676305,arjun.iyer65@example.com
66,Ishaan,Reddy,Masters,2.1,Hyderabad,India,0,39.4,9183118476,ishaan.reddy66@example.com
67,Mia,Bose,Masters,1.3,Kolkata,India,30,18.5,6215475023,mia.bose67@example.com
68,Raghav,Singh,Masters,4.5,Ahmedabad,Other,30,54.9,7642030199,raghav.singh68@example.com
69,Sofia,Kapoor,Bachelors,5.3,Kochi,India,30,55.4,8955024373,sofia.kapoor69@example.com
70,Oliver,Sharma,Masters,14.6,Chennai,India,30,61.5,9180892132,oliver.sharma70@example.com
71,Emily,Williams,Bachelors,5.4,Jaipur,India,30,19.8,6064711471,emily.williams71@example.com
72,Vihaan,Nair,Diploma,2.2,Hyderabad,India,0,31.6,9702714006,vihaan.nair72@example.com
73,Vivaan,Sharma,Bachelors,2.3,Noida,India,30,56.5,8330210801,vivaan.sharma73@example.com
74,Isha,Das,Bachelors,3.9,Kolkata,India,30,53.1,7826943103,isha.das74@example.com
75,Kiara,Lee,Bachelors,7.3,Kochi,Other,30,35.9,6080111120,kiara.lee75@example.com
76,Noah,Yadav,Bachelors,5.2,Kolkata,India,30,49.4,9058953636,noah.yadav76@example.com
77,Aarav,Roy,Masters,5.4,Noida,India,60,47.7,8299471311,aarav.roy77@example.com
78,Aarav,Chen,PhD,2.8,Mumbai,India,15,63.0,6401235560,aarav.chen78@example.com
79,Aditya,Verma,Masters,6.0,Mumbai,Other,45,44.1,7724187326,aditya.verma79@example.com
80,Isha,Singh,Bachelors,3.4,Jaipur,Other,60,68.4,6545823915,isha.singh80@example.com
81,Emily,Sharma,Masters,8.5,Mumbai,India,30,13.5,8693358940,emily.sharma81@example.com
82,Vivaan,Chatterjee,Masters,3.1,Jaipur,India,30,17.3,6584565357,vivaan.chatterjee82@example.com
